/* columns are dimensionless:  t,    pressure (y[0]),    temperature (y[1]),    qv (y[2]),   qc (y[3]),     */
4.8859722668131013e-314,1.0000000000000000e+00,1.0000000000000000e+00,2.2893447923931880e-03,0.0000000000000000e+00
2.5000000000000001e-02,1.0000000000000000e+00,1.0000000000000000e+00,2.2893447923931880e-03,0.0000000000000000e+00
5.0000000000461411e-02,9.9376559568332279e-01,9.9821535402849759e-01,2.2893447923931880e-03,0.0000000000000000e+00
7.5000000000922815e-02,9.8756056512897361e-01,9.9643178155663847e-01,2.2893447923931880e-03,0.0000000000000000e+00
1.0000000000138422e-01,9.8138676677827308e-01,9.9464935381672714e-01,2.2893447923931880e-03,0.0000000000000000e+00
1.2500000000184563e-01,9.7524452226748393e-01,9.9286808765551371e-01,2.2893447923931880e-03,0.0000000000000000e+00
1.5000000000230704e-01,9.6913355806016388e-01,9.9108798617593408e-01,2.2893447923931880e-03,0.0000000000000000e+00
1.7500000000276844e-01,9.6305393337965250e-01,9.8930904766135874e-01,2.2893447923931880e-03,0.0000000000000000e+00
2.0000000000322984e-01,9.5700567370979472e-01,9.8753127137312080e-01,2.2893447923931880e-03,0.0000000000000000e+00
2.2500000000369125e-01,9.5098826986590734e-01,9.8575466117558364e-01,2.2893447923931880e-03,0.0000000000000000e+00
2.5000000000415268e-01,9.4500190397946215e-01,9.8397921568649394e-01,2.2893447923931880e-03,0.0000000000000000e+00
2.7500000000461411e-01,9.3904661335945194e-01,9.8220493462270198e-01,2.2893447923931880e-03,0.0000000000000000e+00
3.0000000000507554e-01,9.3312176052760287e-01,9.8043182156315156e-01,2.2893447923931880e-03,0.0000000000000000e+00
3.2500000000553697e-01,9.2722762163917116e-01,9.7865987495744600e-01,2.2893447923931880e-03,0.0000000000000000e+00
3.5000000000599840e-01,9.2136421463066509e-01,9.7688909470225505e-01,2.2893447923931880e-03,0.0000000000000000e+00
3.7500000000645983e-01,9.1553084138695695e-01,9.7511948409535043e-01,2.2893447923931880e-03,0.0000000000000000e+00
4.0000000000692126e-01,9.0972784771922499e-01,9.7335104150318164e-01,2.2893447923931880e-03,0.0000000000000000e+00
4.2500000000738269e-01,9.0395519568979465e-01,9.7158376707013161e-01,2.2893447923931880e-03,0.0000000000000000e+00
4.5000000000784413e-01,8.9821197467773484e-01,9.6981766426183524e-01,2.2893447923931880e-03,0.0000000000000000e+00
4.7500000000830556e-01,8.9249858180940456e-01,9.6805273156691174e-01,2.2893447923931880e-03,0.0000000000000000e+00
5.0000000000876699e-01,8.8681497802142939e-01,9.6628896913402829e-01,2.2893447923931880e-03,0.0000000000000000e+00
5.2500000000922842e-01,8.8116112425043491e-01,9.6452637711185185e-01,2.2893447923931880e-03,0.0000000000000000e+00
5.5000000000968985e-01,8.7553698143304648e-01,9.6276495564904974e-01,2.2893447923931880e-03,0.0000000000000000e+00
5.7500000001015128e-01,8.6994251050588978e-01,9.6100470489428902e-01,2.2893447923931880e-03,0.0000000000000000e+00
6.0000000001061271e-01,8.6437710576869142e-01,9.5924562823540116e-01,2.2893447923931880e-03,0.0000000000000000e+00
6.2500000001107414e-01,8.5884070149130998e-01,9.5748772597349330e-01,2.2893447923931880e-03,0.0000000000000000e+00
6.5000000001153557e-01,8.5333342312612026e-01,9.5573099731678257e-01,2.2893447923931880e-03,0.0000000000000000e+00
6.7500000001199700e-01,8.4785517836680968e-01,9.5397544271829793e-01,2.2893447923931880e-03,0.0000000000000000e+00
7.0000000001245843e-01,8.4240587490706575e-01,9.5222106263106843e-01,2.2893447923931880e-03,0.0000000000000000e+00
7.2500000001291987e-01,8.3698542044057622e-01,9.5046785750812290e-01,2.2893447923931880e-03,0.0000000000000000e+00
7.5000000001338130e-01,8.3159362287846939e-01,9.4871582870335613e-01,2.2893447923931880e-03,0.0000000000000000e+00
7.7500000001384273e-01,8.2623014625736291e-01,9.4696497886960340e-01,2.2893447923931880e-03,0.0000000000000000e+00
8.0000000001430416e-01,8.2089506261616674e-01,9.4521530697613754e-01,2.2893447923931880e-03,0.0000000000000000e+00
8.2500000001476559e-01,8.1558825631058374e-01,9.4346681368668939e-01,2.2893447923931880e-03,0.0000000000000000e+00
8.5000000001522702e-01,8.1030961169631643e-01,9.4171949966499024e-01,2.2893447923931880e-03,0.0000000000000000e+00
8.7500000001568845e-01,8.0505901312906769e-01,9.3997336557477085e-01,2.2893447923931880e-03,0.0000000000000000e+00
9.0000000001614988e-01,7.9983634496454004e-01,9.3822841207976237e-01,2.2893447923931880e-03,0.0000000000000000e+00
9.2500000001661131e-01,7.9464143109102037e-01,9.3648463940139470e-01,2.2893447923931880e-03,0.0000000000000000e+00
9.5000000001707274e-01,7.8947418284056525e-01,9.3474204840072295e-01,2.2893447923931880e-03,0.0000000000000000e+00
9.7500000001753417e-01,7.8433448508693626e-01,9.3300063974526737e-01,2.2893447923931880e-03,0.0000000000000000e+00
1.0000000000179956e+00,7.7922221821053483e-01,9.3126041406968096e-01,2.2893447923931880e-03,0.0000000000000000e+00
